image,caption
"Reunion class of '81, Naval Academy LOC npcc.04219 (591ff3fc).jpg","The image is a black and white photograph of a group of people standing in front of a building. There are nine people in the group, all dressed in formal attire. The group appears to be of different ages and genders, and they are all smiling and looking at the camera.

In the center of the group is a man wearing a suit and tie, standing with his hands clasped together. He is flanked by two women on either side of him. On the left side of the image, there is a woman wearing a long dress and a hat, and on the right side, there are two men wearing suits and hats. They are standing close together, with one man holding a cane and the other holding a book. Behind them, there appears to have a tent or a tent-like structure, and there are several other people standing around them, some of whom are also smiling and appear to be engaged in conversation. The photograph appears to appear to have been taken in the early 20th century."
"Tex Austin & Edw. T. Clark, 4-3-24 LOC npcc.11006 (a9f974f7).jpg","The image is a black and white photograph of two men shaking hands. The man on the left is wearing a suit and a hat, and is also wearing boots. He is standing on a sidewalk, and there is a building in the background. The other man is standing next to him, wearing a blazer, trousers, and shoes. Both men are smiling and appear to be engaged in a friendly conversation. The photograph appears to be from the early 20th century."
"John Jacob Rogers, Mass. LCCN2016845247 (b156484d).jpg","The image is a black and white portrait of a man sitting in a chair. He is wearing a suit and tie and has a serious expression on his face. The man is bald and has glasses on. He appears to be in his late twenties or early thirties. The background is blurred, but it seems to be a room with a bookshelf and a window. The image has a grungy texture, giving it a vintage feel."
Mr. & Mrs. Jack Hoffman LCCN2016850703 (0f334730).jpg,"The image is a black and white photograph of a man and a woman dancing in a room. The man is on the right side of the image, wearing a suit and tie, and the woman is in the center. They are both smiling and appear to be in a happy and relaxed mood.

The woman is wearing a sleeveless dress with a high neckline and a full skirt with a polka dot pattern. She has her hair styled in an updo and is wearing high heels. She is also wearing a pair of earrings and a necklace. The background is a room with a large window and a rug on the floor. The room appears to be old and dilapidated, with peeling paint and peeling walls."
"Am. Red Cross, Grant Circle unit, (Washington, D.C.) LCCN2016852298 (6d96f007).jpg","The image is a black and white photograph of a group of nine women sitting around a table in a garden. They are all wearing white dresses and hats, and appear to be knitting or crocheting. The table is covered with a white tablecloth and there is a rocking chair on the right side of the image. In the background, there is an old brick building with arched windows and a balcony. The women are sitting on the lawn and are engaged in a knitting activity. The photograph appears to be from the early 20th century."
"Senator Jesse H. Metcalf of Rhode Island, (12-1-24) LCCN2016839004 (cropped) (98c087fd).jpg",The image is a black and white portrait of an elderly man. He is sitting at a desk with a lamp and other office supplies in the background. The man is wearing a suit and tie and has a serious expression on his face. He has a mustache and is looking directly at the camera. The image appears to be a close-up shot of the man's face.
"Pres. presenting Roosevelt chair to Memorial Commission, 10-5-21 LOC npcc.05125 (552d5066).jpg","The image is a black and white photograph of a group of men standing in a line in front of a building. The men are all dressed in formal attire, with some wearing suits and others wearing ties. They are standing on a grassy lawn, with trees and bushes in the background. In the center of the group, there is a man sitting on a chair, who appears to be giving a speech or presentation. The man on the chair is wearing a suit and tie, and he is gesturing with his hands as he speaks. The other men in the group are looking at him attentively. The photograph appears to have been taken in the early 20th century."
"Phya Prabha Karav(ognse, Siam) LOC npcc.08290 (075c5326).jpg",The image is a black and white photograph of a man standing in front of a building with columns. The man is wearing a formal suit and is holding a black hat in his left hand. He is standing with his right hand on his hip and is looking directly at the camera with a serious expression on his face. The building behind him has a large window with white curtains and a door. The image appears to be from the early 20th century.
"Mrs. Geo. Oakley Totten, (10-28-26) LCCN2016842578 (6707ae9f).jpg","The image is a black and white photograph of a woman sitting at a table with a sculpture of a ballerina in front of her. The woman is holding a paintbrush and appears to be in the process of painting the sculpture. She is wearing a long-sleeved dress with a high neckline and a full skirt. Her hair is styled in an updo and she is looking off to the side with a serious expression on her face. The sculpture is made of a light-colored material and is placed on a wooden surface. The background is blurred, but it seems to be a room with a window and a curtain."
Doorman Wardman (...) LOC npcc.05429 (ee00900c).jpg,"The image is a black and white photograph of a man in a military uniform standing next to a car. The man is wearing a long coat and a cap with a badge on it. He is holding a cane in his right hand and appears to be directing the car. Behind him, there is another man sitting in the driver's seat of the car, looking out the window. The car is parked on a street with buildings in the background. The photograph appears to have been taken in the early 20th century."
